TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
VN-IDX,20140107,510.84,513,509.87,510.12,71614380
VN-IDX,20140108,511.03,514.2,509.01,513.9,68629490
VN-IDX,20140109,513.66,516.98,513.52,516.98,88948710
VN-IDX,20140110,518.33,523.06,518.24,518.94,92706120
VN-IDX,20140113,519.31,522.32,518.78,521.11,68452030
VN-IDX,20140114,521.13,524.59,520.63,522.31,85746090
VN-IDX,20140115,523.72,527.09,522.45,526.68,126092570
VN-IDX,20140116,528.83,533.54,527.9,533.54,91792850
VN-IDX,20140117,536.81,549.88,536.81,543.59,114980130
VN-IDX,20140120,548.22,559.93,548.74,553.67,101980700
VN-IDX,20140121,555.72,560.18,547.65,559.91,91154110
VN-IDX,20140122,561.34,564.61,551.92,551.92,114735990
VN-IDX,20140123,550.88,556.5,550.52,553.55,68197050
VN-IDX,20140124,555.66,560.19,553.46,560.19,85521800
VN-IDX,20140127,560.45,560.49,556.37,556.52,65472100
VN-IDX,20140206,555.51,557.29,551.45,554.68,87875560
VN-IDX,20140207,557.71,558.51,549.37,549.76,119495580
VN-IDX,20140210,550.41,555.9,548.56,555.9,106904960
VN-IDX,20140211,559.74,561.83,553.9,553.9,170844850
VN-IDX,20140212,555.55,564.25,554.26,564.25,120916320
VN-IDX,20140213,567.58,570.68,565.27,570.18,145697620
VN-IDX,20140214,573.09,576.18,569.38,572.22,136937230
VN-IDX,20140217,571.91,572.85,567.89,570.2,159214880
VN-IDX,20140218,570.8,574.56,570.16,574.56,154772030
VN-IDX,20140219,578.53,578.77,573.86,578.12,153445030
VN-IDX,20140220,579.64,584.1,565.31,571.04,254367230
VN-IDX,20140221,570.95,574.61,565.33,570.57,116346370
VN-IDX,20140224,571.94,576.58,570.07,576.58,112732880
VN-IDX,20140225,575.49,586.2,575.49,586.2,141747900
VN-IDX,20140226,590.64,590.77,582.96,589.81,157700690
VN-IDX,20140227,587.82,596.4,584.79,584.79,225207222
VN-IDX,20140228,586.12,591.36,581.63,586.48,119388297
VN-IDX,20140303,586.65,587.11,573.37,573.38,143297444
VN-IDX,20140304,569.34,572.28,563.55,569.97,125571957
VN-IDX,20140305,569.97,0,0,574.94,105532293
VN-IDX,20140306,576.17,0,0,578.56,141304493
VN-IDX,20140307,579.4,0,0,579.75,157003150
VN-IDX,20140310,580.84,0,0,583.69,145025550
VN-IDX,20140311,585.1,0,0,588.5,162492886
VN-IDX,20140312,590.94,596.38,590.02,590.02,177883620
VN-IDX,20140313,590.83,595.22,590.36,595.22,133778877
VN-IDX,20140314,596.2,600.68,594.51,596.83,163926210
VN-IDX,20140317,603.05,603.24,598.7,600.36,170181160
VN-IDX,20140318,602.01,603.21,597.78,599.85,205401807
VN-IDX,20140319,600.73,605.91,600.42,605.59,192008410
VN-IDX,20140324,606.55,608.64,605.95,607.55,194824345
VN-IDX,20140325,609.01,609.46,601.85,601.85,261346500
VN-IDX,20140326,603.54,603.68,587.52,588.06,259085060
VN-IDX,20140327,588.94,591.7,582.81,590.14,151335930
VN-IDX,20140328,592.82,595.7,590.59,594.29,122367440
VN-IDX,20140331,596.41,597.22,591.57,591.57,119514830
VN-IDX,20140401,0,0,0,591.57,0
VN-IDX,20140402,584.17,586.5,574.4,581.67,146779523
VN-IDX,20140403,584.45,590.91,582.83,589.44,105522983
VN-IDX,20140404,589.9,593.72,588.34,593.04,119718455
VN-IDX,20140407,595.72,602.55,595.35,600.57,115651254
VN-IDX,20140408,600.71,603.25,598.52,603.25,127466174
VN-IDX,20140410,603.25,608.89,600.43,601.33,114247627
VN-IDX,20140411,597.87,602.01,594.96,600.57,106926180
VN-IDX,20140414,602.67,602.7,596.05,596.11,128080220
VN-IDX,20140415,596,597.99,586.09,586.09,131668530
VN-IDX,20140416,583.64,585.51,567.61,574.29,149242265
VN-IDX,20140417,580.39,583.51,575.83,580.31,117693160
VN-IDX,20140418,580.89,580.89,565.33,565.33,116972898
VN-IDX,20140609,559.04,571.83,558.64,565.61,112503448
VN-IDX,20140610,566.31,571.73,564.32,566.89,79447283
VN-IDX,20140611,567.77,573.05,566.51,570.36,85221016
VN-IDX,20140612,571.19,574.75,568.58,573.77,96141153
VN-IDX,20140613,573.58,577.27,573.03,574.48,72408393
VN-IDX,20140616,575.2,575.87,571.76,572.37,87593555
VN-IDX,20140617,571.8,573.15,567.58,572.25,108669056
VN-IDX,20140618,571.74,575.03,570.03,570.03,99955525
VN-IDX,20140619,564.93,569.41,558.65,567.35,124333699
VN-IDX,20140620,568.45,571.76,560.78,560.78,123445643
VN-IDX,20140623,561.97,567.71,561.97,565.92,62543580
VN-IDX,20140624,565.47,570.37,565.12,569.74,67575649
VN-IDX,20140625,570.33,574.62,569.27,572.27,96490753
VN-IDX,20140626,572.23,578.29,570.33,576.4,123938238
VN-IDX,20140627,576.29,580.75,575.1,578.82,74414898
VN-IDX,20140630,578.28,582.26,577.76,578.13,76496630
VN-IDX,20140701,578.93,582.16,577.3,578.07,104403768
VN-IDX,20140702,578.9,581.89,576.88,578.8,109096029
VN-IDX,20140703,581.24,585.02,580.55,585.02,131463926
VN-IDX,20140704,585.66,591.38,585.66,589.35,132764372
VN-IDX,20140707,592.23,594.84,589.61,590.69,127746391
VN-IDX,20140708,591.63,593.4,588.54,591.47,96629270
VN-IDX,20140709,591.82,593.42,590.46,591.6,109819763
VN-IDX,20140710,591.21,591.35,581.49,584.88,152831885
VN-IDX,20140711,584.29,586.57,580.54,582.77,78299428
VN-IDX,20140714,583.55,586.23,581.99,586.23,68061940
VN-IDX,20140715,587.92,590.09,587.68,589.31,137424848
VN-IDX,20140716,594.13,594.29,589.68,589.68,138138520
VN-IDX,20140717,588.99,591.42,586.07,590.37,96550889
VN-IDX,20140718,590.9,596.26,589.33,596.26,144369890
VN-IDX,20140721,598.11,604.64,596.96,601.04,111554600
VN-IDX,20140722,599.3,600.93,594.85,597.98,103903204
VN-IDX,20140723,599.56,599.56,594.1,597.5,65415149
VN-IDX,20140724,597.03,602.49,597.03,602.06,87860250
VN-IDX,20140725,603.54,605.78,600.14,600.14,99969048
VN-IDX,20140728,599.13,599.35,587.78,589.45,111541350
VN-IDX,20140729,590.57,592.24,585.75,592.24,62283321
HNX-IDX,20121010,55.43,55.58,54.97,55.51,27444700
HNX-IDX,20121011,55.51,56.74,55.44,55.84,45172000
HNX-IDX,20121012,55.85,55.86,55.24,55.44,29346200
HNX-IDX,20121015,55.44,55.48,54.68,54.94,23663800
HNX-IDX,20121016,54.94,56.28,54.84,56.28,37591400
HNX-IDX,20121017,56.28,56.57,55.64,55.93,31060700
HNX-IDX,20121018,55.8,56.25,55.46,55.82,26657300
HNX-IDX,20121019,55.83,55.83,54.64,54.74,42946400
HNX-IDX,20121022,54.74,54.75,53.8,54.35,24498200
HNX-IDX,20121023,54.22,54.56,54.06,54.56,16865200
HNX-IDX,20121024,54.56,54.57,53.87,54.25,17518700
HNX-IDX,20121025,54.24,54.37,53.66,53.88,21251200
HNX-IDX,20121026,53.85,53.97,53.33,53.79,25044800
HNX-IDX,20121029,53.74,53.88,53.53,53.64,14064600
HNX-IDX,20121030,53.57,53.84,53.08,53.13,27433400
HNX-IDX,20121031,52.79,53.13,52.6,53.02,20942500
HNX-IDX,20121101,52.83,53.11,52.55,52.66,20332700
HNX-IDX,20121102,52.65,52.67,50.76,51.06,46551100
HNX-IDX,20121105,51.06,51.06,50.45,50.75,21493800
HNX-IDX,20121106,50.74,50.89,50.32,50.66,25157600
HNX-IDX,20121107,50.63,51.68,50.61,51.58,30552200
