<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAA,20140326,24.8,25.0,23.0,23.6,1104400
AAM,20140326,15.8,16.3,15.8,16.1,15870
ABT,20140326,49.0,49.8,49.0,49.8,300
ACB,20140326,17.3,17.3,17.0,17.0,583854
ACC,20140326,32.8,33.0,32.0,32.0,29860
ACL,20140326,11.6,11.6,10.9,11.4,69530
ADC,20140326,22.6,22.6,22.6,22.6,900
AGF,20140326,21.0,21.2,21.0,21.2,440
AGM,20140326,15.0,15.0,14.9,15.0,3050
AGR,20140326,9.2,9.3,8.7,8.7,3719960
ALP,20140326,7.0,7.0,6.2,6.2,155000
ALT,20140326,12.9,13.2,12.9,13.0,1700
ALV,20140326,6.7,6.7,6.3,6.3,49200
AMC,20140326,0.0,0.0,0.0,30.0,0
AME,20140326,6.8,6.8,5.9,6.4,1500
AMV,20140326,6.4,7.2,6.0,6.9,60800
ANV,20140326,11.4,11.8,10.8,11.1,327830
APC,20140326,0.0,0.0,0.0,13.9,0
APG,20140326,7.2,7.2,6.5,6.9,45400
API,20140326,13.1,13.5,13.0,13.5,47700
APP,20140326,13.0,13.1,12.8,12.8,15500
APS,20140326,8.1,8.5,7.4,7.4,3162901
ARM,20140326,20.4,20.5,20.4,20.5,2000
ASA,20140326,0.0,0.0,0.0,17.2,0
ASIAGF,20140326,0.0,0.0,0.0,9.6,0
ASM,20140326,11.9,12.2,11.1,11.1,2472820
ASP,20140326,9.6,9.6,8.9,8.9,631050
ATA,20140326,6.7,6.7,6.3,6.3,59320
AVF,20140326,8.8,8.8,8.1,8.1,1744740
B82,20140326,12.5,12.5,12.5,12.5,140
BBC,20140326,39.9,39.9,38.5,39.0,9490
BBS,20140326,14.1,14.3,14.1,14.3,10000
BCC,20140326,8.9,8.9,8.4,8.4,807900
BCE,20140326,13.8,13.9,13.1,13.2,223150
BCI,20140326,26.6,26.9,26.0,26.3,291350
BDB,20140326,5.7,5.7,5.7,5.7,500
BED,20140326,0.0,0.0,0.0,14.0,0
BGM,20140326,7.6,7.6,6.9,6.9,2645210
BHC,20140326,3.3,3.3,3.3,3.3,48302
